Longitude,Latitude,Height,hMSL,hACC,vACC,SN,PPB,T,RH,ADCR,TR,RHR,D,H,M,S
 -737784991 ,410158672 ,27023 ,61306 ,14888 ,36172,120420010531, -219191, 27, 35, 32454, 27776, 21622, 00, 00, 14, 14
 -737784984 ,410158673 ,27318 ,61601 ,14824 ,36056,120420010531, -263030, 27, 35, 32461, 27780, 21614, 00, 00, 14, 15
 -737785024 ,410158671 ,28332 ,62616 ,14863 ,36202,120420010531, 100201, 27, 35, 32403, 27780, 21614, 00, 00, 14, 16
 -737785104 ,410158616 ,27673 ,61957 ,15450 ,37148,120420010531, -194141, 27, 35, 32450, 27780, 21614, 00, 00, 14, 17
 -737785041 ,410158632 ,27505 ,61788 ,16190 ,38145,120420010531, -212929, 27, 35, 32453, 27776, 21618, 00, 00, 14, 18
 -737784982 ,410158694 ,28969 ,63253 ,16923 ,39261,120420010531, -137777, 27, 35, 32441, 27784, 21614, 00, 00, 14, 19
 -737785006 ,410158725 ,30290 ,64573 ,19143 ,42996,120420010531, -18787, 27, 35, 32422, 27784, 21622, 00, 00, 14, 21
 -737785004 ,410158760 ,31439 ,65722 ,19744 ,44213,120420010531, -75151, 27, 35, 32431, 27788, 21606, 00, 00, 14, 22
 -737785015 ,410158737 ,31301 ,65585 ,20170 ,45199,120420010531, -175353, 27, 35, 32447, 27792, 21622, 00, 00, 14, 23
 -737785033 ,410158748 ,33167 ,67450 ,20517 ,46143,120420010531, -131515, 27, 35, 32440, 27796, 21614, 00, 00, 14, 24
 -737785046 ,410158782 ,34366 ,68650 ,20772 ,46972,120420010531, -150302, 27, 35, 32443, 27784, 21610, 00, 00, 14, 25
 -737785050 ,410158782 ,34327 ,68611 ,21061 ,47941,120420010531, -118989, 27, 35, 32438, 27792, 21618, 00, 00, 14, 26
 -737785087 ,410158817 ,36166 ,70449 ,21436 ,48937,120420010531, -206666, 27, 35, 32452, 27800, 21606, 00, 00, 14, 27
 -737785116 ,410158855 ,37472 ,71756 ,21844 ,49930,120420010531, -169090, 27, 35, 32446, 27796, 21602, 00, 00, 14, 28
 -737785188 ,410158857 ,39036 ,73319 ,22312 ,50993,120420010531, 18787, 27, 35, 32416, 27792, 21606, 00, 00, 14, 29
 -737785256 ,410158864 ,40255 ,74539 ,22808 ,52060,120420010531, -81414, 27, 35, 32432, 27792, 21590, 00, 00, 14, 30
 -737785246 ,410158914 ,40750 ,75034 ,23300 ,53062,120420010531, -319393, 27, 35, 32470, 27792, 21602, 00, 00, 14, 31
 -737785191 ,410158945 ,39825 ,74109 ,23754 ,53987,120420010531, -12525, 27, 35, 32421, 27796, 21590, 00, 00, 14, 32
 -737785147 ,410158963 ,39269 ,73552 ,24116 ,54721,120420010531, -50100, 27, 35, 32427, 27792, 21590, 00, 00, 14, 33
 -737785146 ,410158978 ,39127 ,73410 ,24431 ,55715,120420010531, -93939, 27, 35, 32434, 27788, 21590, 00, 00, 14, 35
 -737785217 ,410158981 ,40573 ,74857 ,24478 ,56059,120420010531, -131515, 27, 35, 32440, 27796, 21590, 00, 00, 14, 36
 -737785355 ,410158940 ,42107 ,76391 ,24617 ,56492,120420010531, -68888, 27, 35, 32430, 27784, 21578, 00, 00, 14, 37
 -737785366 ,410158929 ,40608 ,74891 ,24773 ,56941,120420010531, -118989, 27, 35, 32438, 27792, 21574, 00, 00, 14, 38
 -737785411 ,410158949 ,41843 ,76127 ,25093 ,57621,120420010531, -175353, 27, 35, 32447, 27780, 21558, 00, 00, 14, 39
 -737785375 ,410158958 ,41127 ,75411 ,25467 ,58260,120420010531, -81414, 27, 35, 32432, 27784, 21554, 00, 00, 14, 40
 -737785313 ,410159014 ,40153 ,74437 ,25808 ,58791,120420010531, -175353, 27, 35, 32447, 27776, 21542, 00, 00, 14, 41
 -737785268 ,410159029 ,38331 ,72615 ,32848 ,62888,120420010531, 25050, 27, 35, 32415, 27784, 21538, 00, 00, 14, 44
 -737785263 ,410159052 ,38108 ,72391 ,36131 ,65934,120420010531, -187878, 27, 35, 32449, 27768, 21522, 00, 00, 14, 45
 -737785126 ,410159048 ,33862 ,68146 ,35025 ,65412,120420010531, 106464, 27, 35, 32402, 27776, 21518, 00, 00, 14, 46
 -737785153 ,410158945 ,37215 ,71498 ,33948 ,64823,120420010531, -56363, 27, 35, 32428, 27764, 21522, 00, 00, 14, 47
 -737785184 ,410158898 ,38891 ,73174 ,32991 ,64409,120420010531, -231716, 27, 35, 32456, 27764, 21510, 00, 00, 14, 48
 -737785113 ,410158898 ,35555 ,69839 ,32267 ,64206,120420010531, -194141, 27, 35, 32450, 27772, 21518, 00, 00, 14, 49
 -737785128 ,410158848 ,36499 ,70782 ,31760 ,64345,120420010531, 6262, 27, 35, 32418, 27776, 21518, 00, 00, 14, 50
 -737785037 ,410158882 ,34231 ,68515 ,31404 ,64570,120420010531, -256767, 27, 35, 32460, 27764, 21518, 00, 00, 14, 51
 -737784939 ,410158874 ,32510 ,66793 ,30561 ,64253,120420010531, -156565, 27, 35, 32444, 27768, 21522, 00, 00, 14, 53
 -737784968 ,410158887 ,33728 ,68011 ,29935 ,63659,120420010531, -150302, 27, 35, 32443, 27764, 21514, 00, 00, 14, 54
 -737785021 ,410158886 ,35882 ,70165 ,29362 ,63209,120420010531, -206666, 27, 35, 32452, 27772, 21518, 00, 00, 14, 55
 -737785139 ,410158930 ,38951 ,73234 ,28857 ,62713,120420010531, -106464, 27, 35, 32436, 27764, 21522, 00, 00, 14, 56
 -737785012 ,410158977 ,35729 ,70012 ,28584 ,62604,120420010531, -331918, 27, 35, 32472, 27760, 21526, 00, 00, 14, 57
 -737785035 ,410159002 ,36893 ,71177 ,28411 ,62651,120420010531, -256767, 27, 35, 32460, 27764, 21518, 00, 00, 14, 58
 -737785121 ,410158999 ,38181 ,72464 ,28319 ,62808,120420010531, -256767, 27, 35, 32460, 27764, 21522, 00, 00, 14, 59
 -737785175 ,410158953 ,39056 ,73340 ,28275 ,62984,120420010531, -175353, 27, 35, 32447, 27764, 21510, 00, 00, 15, 00
 -737785155 ,410158882 ,36781 ,71065 ,28286 ,63224,120420010531, -144040, 27, 35, 32442, 27760, 21514, 00, 00, 15, 01
 -737785180 ,410158845 ,38019 ,72303 ,28258 ,63292,120420010531, -169090, 27, 35, 32446, 27752, 21510, 00, 00, 15, 02
 -737785087 ,410158835 ,36756 ,71040 ,28107 ,63180,120420010531, -237979, 27, 35, 32457, 27764, 21506, 00, 00, 15, 03
 -737785084 ,410158811 ,36606 ,70890 ,27350 ,61475,120420010531, -231716, 27, 35, 32456, 27756, 21506, 00, 00, 15, 04
 -737785196 ,410158767 ,38830 ,73113 ,25391 ,57247,120420010531, -181616, 27, 35, 32448, 27756, 21498, 00, 00, 15, 05
 -737785363 ,410158690 ,40338 ,74622 ,22825 ,51930,120420010531, -68888, 27, 35, 32430, 27756, 21506, 00, 00, 15, 06
 -737785426 ,410158667 ,40844 ,75128 ,21240 ,48564,120420010531, -219191, 27, 35, 32454, 27756, 21506, 00, 00, 15, 07
 -737785491 ,410158667 ,42128 ,76411 ,20913 ,47861,120420010531, -237979, 27, 35, 32457, 27756, 21506, 00, 00, 15, 08
 -737785502 ,410158672 ,42225 ,76509 ,20614 ,47223,120420010531, -93939, 27, 35, 32434, 27760, 21502, 00, 00, 15, 09
 -737785543 ,410158651 ,43418 ,77702 ,20012 ,45937,120420010531, -244242, 27, 34, 32458, 27744, 21490, 00, 00, 15, 10
 -737785562 ,410158622 ,45638 ,79922 ,18259 ,42184,120420010531, -288080, 27, 35, 32465, 27752, 21498, 00, 00, 15, 11
 -737785584 ,410158565 ,46738 ,81022 ,17346 ,40276,120420010531, -87676, 27, 34, 32433, 27752, 21494, 00, 00, 15, 12
 -737785595 ,410158583 ,46626 ,80910 ,16732 ,38941,120420010531, -250504, 27, 35, 32459, 27740, 21506, 00, 00, 15, 13
 -737785600 ,410158598 ,46731 ,81015 ,16513 ,38459,120420010531, -288080, 27, 35, 32465, 27744, 21506, 00, 00, 15, 14
