Serial #,PPD,Temp (Celsius),RH (%),ADC Raw,T Raw,RH Raw,Day (Time Elapsed),Hour ,Minute ,Second
1.2042E+11,2234,19,22,31792,24628,14950,0,0,11,54
1.2042E+11,2280,19,22,31773,24624,14950,0,0,11,55
1.2042E+11,2187,19,22,31811,24624,14954,0,0,11,56
1.2042E+11,2248,19,22,31786,24616,14950,0,0,11,57
1.2042E+11,2168,19,22,31819,24600,14942,0,0,11,58
1.2042E+11,2231,19,22,31793,24600,14946,0,0,11,59
1.2042E+11,2231,19,22,31793,24600,14946,0,0,12,0
1.2042E+11,2158,19,22,31823,24596,14950,0,0,12,1
1.2042E+11,2202,19,22,31805,24592,14946,0,0,12,2
1.2042E+11,2241,19,22,31789,24592,14946,0,0,12,3
1.2042E+11,2192,19,22,31809,24592,14946,0,0,12,4
1.2042E+11,2158,19,22,31823,24596,14946,0,0,12,5
1.2042E+11,2243,19,22,31788,24588,14950,0,0,12,6
1.2042E+11,2187,19,22,31811,24592,14954,0,0,12,7
1.2042E+11,2149,19,22,31827,24596,14950,0,0,12,8
1.2042E+11,2151,19,22,31826,24592,14950,0,0,12,9
1.2042E+11,2185,19,22,31812,24588,14958,0,0,12,10
1.2042E+11,2134,19,22,31833,24600,14962,0,0,12,11
1.2042E+11,2151,19,22,31826,24592,14950,0,0,12,12
1.2042E+11,2178,19,22,31815,24596,14970,0,0,12,13
1.2042E+11,2112,19,22,31842,24600,14966,0,0,12,14
1.2042E+11,2180,19,22,31814,24600,14974,0,0,12,15
1.2042E+11,2207,19,22,31803,24608,14970,0,0,12,16
1.2042E+11,2161,19,22,31822,24600,14974,0,0,12,17
1.2042E+11,2134,19,22,31833,24608,14974,0,0,12,18
1.2042E+11,2170,19,22,31818,24596,14974,0,0,12,19
1.2042E+11,2124,19,22,31837,24600,14986,0,0,12,20
1.2042E+11,2153,19,22,31825,24600,14982,0,0,12,21
1.2042E+11,2163,19,22,31821,24600,14982,0,0,12,22
1.2042E+11,2119,19,22,31839,24596,14990,0,0,12,23
1.2042E+11,2115,19,22,31841,24608,14986,0,0,12,24
1.2042E+11,2153,19,22,31825,24604,14994,0,0,12,25
1.2042E+11,2127,19,22,31836,24596,14998,0,0,12,26
1.2042E+11,2122,19,22,31838,24596,14998,0,0,12,27
1.2042E+11,2071,19,22,31859,24600,14994,0,0,12,28
1.2042E+11,2122,19,22,31838,24600,14994,0,0,12,29
1.2042E+11,2158,19,22,31823,24604,14998,0,0,12,30
1.2042E+11,2139,19,22,31831,24600,15002,0,0,12,31
1.2042E+11,2078,19,22,31856,24600,15006,0,0,12,32
1.2042E+11,2032,19,22,31875,24596,15006,0,0,12,33
1.2042E+11,2122,19,22,31838,24596,15010,0,0,12,34
1.2042E+11,2132,19,22,31834,24604,15006,0,0,12,35
